method,target,num_qubits,generator_length,success,certified,stop_reason,wall_seconds,cpu_seconds,outer_decisions,attempted_edges,generated,accepted,rejected,frontier_peak,policy_rows,context_rows_built,maximum_matrix_error,witness,repetition
mixed_deferred_outer_sarsa_native_order,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.039929723000000195,0.039935430999999966,66,245,245,243,2,229,7899,0,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",1
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.0324703019999788,0.03247425600000042,44,162,162,162,0,154,4329,275,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",1
mixed_eager_outer_sarsa,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.04799529799993252,0.04800027299999954,13,585,295,293,2,281,2081,0,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",2
mixed_deferred_outer_sarsa_native_order,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.04337134000002152,0.04337652799999958,66,245,245,243,2,229,7899,0,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",2
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.042122136999978466,0.042126868999998734,44,162,162,162,0,154,4329,275,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",2
mixed_eager_target_potential,heldout-mixed-frame-phase-6q-ood,6,6,False,False,expansion_cap,1.2920492019999301,1.2919983219999995,512,30720,1982,1882,100,1376,421599,0,,,0
mixed_deferred_outer_sarsa_native_order,heldout-mixed-frame-phase-6q-ood,6,6,True,True,certified,0.020368124000015086,0.020371530999998555,27,102,102,102,0,84,1226,0,0.0,"CNOT(2,4); CNOT(3,1); H(3); S(0); T(2); TDG(0)",0
mixed_eager_outer_sarsa,heldout-mixed-frame-phase-6q-ood,6,6,True,True,certified,0.020790000000033615,0.020793527999998673,6,360,151,151,0,146,517,0,0.0,"CNOT(2,4); CNOT(3,1); H(3); S(0); T(2); TDG(0)",0
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-frame-phase-6q-ood,6,6,True,True,certified,0.015810095000006186,0.015813682999997525,14,50,50,50,0,32,496,151,0.0,"CNOT(2,4); CNOT(3,1); H(3); S(0); T(2); TDG(0)",0
mixed_deferred_outer_sarsa_native_order,heldout-mixed-frame-phase-6q-ood,6,6,True,True,certified,0.020143046000043796,0.020146976999999566,27,102,102,102,0,84,1226,0,0.0,"CNOT(2,4); CNOT(3,1); H(3); S(0); T(2); TDG(0)",1
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-frame-phase-6q-ood,6,6,True,True,certified,0.01595803899999737,0.01596199399999776,14,50,50,50,0,32,496,151,0.0,"CNOT(2,4); CNOT(3,1); H(3); S(0); T(2); TDG(0)",1
mixed_eager_outer_sarsa,heldout-mixed-frame-phase-6q-ood,6,6,True,True,certified,0.021426459999929648,0.021431726999999512,6,360,151,151,0,146,517,0,0.0,"CNOT(2,4); CNOT(3,1); H(3); S(0); T(2); TDG(0)",1
